ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher,Book-Author-Processed,Book-Publisher-Processed,Book-Title-Processed,Book-Info,Book-Vector,Year-Of-Publication-Group,Year-Of-Publication-Group-Encoded
0553582747,From the Corner of His Eye,Dean Koontz,2001.0,Bantam Books,dean r koontz,bantam books,corner eye,From the Corner of His Eye by Dean Koontz,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0425182908,Isle of Dogs,Patricia Cornwell,2002.0,Berkley Publishing Group,patricia d cornwell,berkley publishing group,isle dog,Isle of Dogs by Patricia Cornwell,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
042518630X,Purity in Death,J.D. Robb,2002.0,Berkley Publishing Group,j d robb,berkley publishing group,purity death,Purity in Death by J.D. Robb,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997.0,Dell,maeve binchy,dell,year different story,This Year It Will Be Different: And Other Stories by Maeve Binchy,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000.0,Tyndale House Publishers,tim lahaye,tyndale house putlishers,left behind novel earth last day left behind 1,Left Behind: A Novel of the Earth's Last Days (Left Behind #1) by Tim Lahaye,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0440225701,The Street Lawyer,JOHN GRISHAM,1999.0,Dell,john grisham,dell,street lawyer,The Street Lawyer by JOHN GRISHAM,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988.0,HarperCollins Publishers,m d bernie s siegel,harpercollins publishers,love medicine miracle,"Love, Medicine and Miracles by M.D. Bernie S. Siegel",[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0380715899,A Soldier of the Great War,Mark Helprin,1992.0,Avon Books,mark helprin,avon books,soldier great war,A Soldier of the Great War by Mark Helprin,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671623249,LONESOME DOVE,Larry McMurtry,1986.0,Pocket,larry mcmurtry,pocket,lonesome dove,LONESOME DOVE by Larry McMurtry,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991.0,Laurel Leaf,suzanne fisher staples,laurel leaf,shabanu daughter wind border trilogy,Shabanu: Daughter of the Wind (Border Trilogy) by SUZANNE FISHER STAPLES,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995.0,Laurel Leaf,suzanne fisher staples,laurel leaf,haveli laurel leaf book,Haveli (Laurel Leaf Books) by SUZANNE FISHER STAPLES,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
042511774X,Breathing Lessons,Anne Tyler,1994.0,Berkley Publishing Group,anne tyler,berkley publishing group,breathing lesson,Breathing Lessons by Anne Tyler,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0804106304,The Joy Luck Club,Amy Tan,1994.0,Prentice Hall (K-12),amy tan,prentice hall k 12,joy luck club,The Joy Luck Club by Amy Tan,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997.0,NTC/Contemporary Publishing Company,thomas hardy,ntc contemporary publishing company,te urbervilles wordsworth classic,Tess of the D'Urbervilles (Wordsworth Classics) by Thomas Hardy,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060938412,The Accidental Virgin,Valerie Frankel,2003.0,Avon Trade,valerie frankel,avon trade,accidental virgin,The Accidental Virgin by Valerie Frankel,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0140067477,The Tao of Pooh,Benjamin Hoff,1983.0,Penguin Books,benjamin hoff,penguin books,tao pooh,The Tao of Pooh by Benjamin Hoff,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0345465083,Seabiscuit,LAURA HILLENBRAND,2003.0,Ballantine Books,laura hillenbrand,ballantine books,seabiscuit,Seabiscuit by LAURA HILLENBRAND,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,1991.0,Thomas Nelson,h jackson brown,thomas nelson,life little instruction book life little instruction book paperback,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) by H. Jackson Brown,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0441783589,Starship Troopers,Robert A. Heinlein,1987.0,Ace Books,robert heinlein,ace books,starship trooper,Starship Troopers by Robert A. Heinlein,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988.0,Laurel Leaf,philip pullman,laurel leaf,ruby smoke sally lockhart trilogy book 1,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1) by PHILIP PULLMAN",[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0375410538,Anil's Ghost,MICHAEL ONDAATJE,2000.0,Knopf,michael ondaatje,knopf,anil ghost,Anil's Ghost by MICHAEL ONDAATJE,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,1990.0,Atlantic Monthly Press,p j orourke,atlantic monthly press,modern manner etiquette book rude people,Modern Manners: An Etiquette Book for Rude People by P.J. O'Rourke,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0340767936,Turning Thirty,Mike Gayle,2000.0,Hodder & Stoughton General Division,mike gayle,hodder & stoughton general division,turning thirty,Turning Thirty by Mike Gayle,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0316769487,The Catcher in the Rye,J.D. Salinger,1991.0,"Little, Brown",j d salinger,little brown,catcher rye,The Catcher in the Rye by J.D. Salinger,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
8445071408,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),J. R. R. Tolkien,2001.0,Minotauro,j r r tolkien,minotauro,el senor de los anillos la comunidad del anillo lord ring spanish,El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)) by J. R. R. Tolkien,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
8445071769,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)),J. R. R. Tolkien,2001.0,Minotauro,j r r tolkien,minotauro,el senor de los anillos la do torres lord ring paperback,El Senor De Los Anillos: Las DOS Torres (Lord of the Rings (Paperback)) by J. R. R. Tolkien,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001.0,Distribooks,j r r tolkien,distribooks,el senor de los anillos el retorno del rey tolkien j r r lord ring 3,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.) by J. R. R. Tolkien",[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994.0,Random House,john berendt,random house p,midnight garden good evil savannah story,Midnight in the Garden of Good and Evil: A Savannah Story by John Berendt,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998.0,Pocket,mary higgins clark,pocket,pretend see,Pretend You Don't See Her by Mary Higgins Clark,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0312252617,Fast Women,Jennifer Crusie,2001.0,St. Martin's Press,jennifer crusie,st martins press,fast woman,Fast Women by Jennifer Crusie,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0312261594,Female Intelligence,Jane Heller,2001.0,St. Martin's Press,jane heller,st martins press,female intelligence,Female Intelligence by Jane Heller,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002.0,Back Bay Books,michael rips,back bay books,pasquale nose idle day italian town,Pasquale's Nose: Idle Days in an Italian Town by Michael Rips,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000.0,Warner Books,robert t kiyosaki,warner books,rich dad poor dad rich teach kid money poor middle class,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not! by Robert T. Kiyosaki",[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0451166892,The Pillars of the Earth,Ken Follett,1996.0,Signet Book,ken follett,signet books,pillar earth,The Pillars of the Earth by Ken Follett,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995.0,Vintage,louis de bernieres,vintage,corelli mandolin novel,Corelli's Mandolin : A Novel by LOUIS DE BERNIERES,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0786868716,The Five People You Meet in Heaven,Mitch Albom,2003.0,Hyperion,mitch albom,hyperion,five people meet heaven,The Five People You Meet in Heaven by Mitch Albom,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992.0,Star Trek,michael jan friedman,star trek,relic star trek next generation,Relics (Star Trek: The Next Generation) by Michael Jan Friedman,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0312953453,Blood Oath,David Morrell,1994.0,St. Martin's Press,david morrell,st martins press,blood oath,Blood Oath by David Morrell,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0446608653,The Alibi,Sandra Brown,2000.0,Warner Books,sandra brown,warner books,alibi,The Alibi by Sandra Brown,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0446612545,The Beach House,James Patterson,2003.0,Warner Books,james patterson,warner books,beach house,The Beach House by James Patterson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0446612618,A Kiss Remembered,Sandra Brown,2003.0,Warner Books,sandra brown,warner books,kiss remembered,A Kiss Remembered by Sandra Brown,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0451208080,The Short Forever,Stuart Woods,2003.0,Signet Book,stuart woods,signet books,short forever,The Short Forever by Stuart Woods,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0553584383,Dead Aim,IRIS JOHANSEN,2004.0,Bantam Books,iris johansen,bantam books,dead aim,Dead Aim by IRIS JOHANSEN,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0671027360,Angels & Demons,Dan Brown,2001.0,Pocket Star,dan brown,pocket star,angel demon,Angels & Demons by Dan Brown,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0812575954,The Deal,Joe Hutsko,2000.0,Tor Books (Mm),joe hutsko,tor books mm,deal,The Deal by Joe Hutsko,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0316735736,All He Ever Wanted: A Novel,Anita Shreve,2004.0,Back Bay Books,anita shreve,back bay books,ever wanted novel,All He Ever Wanted: A Novel by Anita Shreve,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,2002.0,Pocket,ann rule,pocket,every breath take true story obsession revenge murder,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder by Ann Rule",[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0380619458,The Mosquito Coast,Paul Theroux,1990.0,Harper Mass Market Paperbacks (Mm),paul theroux,harper mass market paperbacks mm,mosquito coast,The Mosquito Coast by Paul Theroux,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671042858,The Girl Who Loved Tom Gordon,Stephen King,2000.0,Pocket,stephen king,pocket,girl loved tom gordon,The Girl Who Loved Tom Gordon by Stephen King,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,2003.0,Free Press,ben mezrich,free press,bringing house inside story six student took vega million,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions by Ben Mezrich,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0425184226,The Sum of All Fears,Tom Clancy,2002.0,Berkley Publishing Group,tom clancy,berkley publishing group,sum fear,The Sum of All Fears by Tom Clancy,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,1999.0,Random House,dana reeve,random house p,care package letter christopher reeve stranger friend,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends by DANA REEVE,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,1998.0,Perennial,gabriel garcia marquez,perennial,one hundred year solitude,One Hundred Years of Solitude by Gabriel Garcia Marquez,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060976845,Little Altars Everywhere: A Novel,Rebecca Wells,1996.0,Perennial,rebecca wells,perennial,little altar everywhere novel,Little Altars Everywhere: A Novel by Rebecca Wells,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0061099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1992.0,HarperTorch,tony hillerman,harpertorch,coyote wait joe leaphorn jim chee novel,Coyote Waits (Joe Leaphorn/Jim Chee Novels) by Tony Hillerman,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0671004573,Before I Say Good-Bye,Mary Higgins Clark,2001.0,Pocket,mary higgins clark,pocket,say good bye,Before I Say Good-Bye by Mary Higgins Clark,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0446601640,Slow Waltz in Cedar Bend,Robert James Waller,1994.0,Warner Books,robert james waller,warner books,slow waltz cedar bend,Slow Waltz in Cedar Bend by Robert James Waller,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
038572179X,Atonement : A Novel,IAN MCEWAN,2003.0,Anchor,ian mcewan,anchor,atonement novel,Atonement : A Novel by IAN MCEWAN,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0451410319,Hush,Anne Frasier,2002.0,Onyx Books,anne frasier,onyx books,hush,Hush by Anne Frasier,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,2002.0,Bantam Books,kay hooper,bantam books,whisper evil hooper kay evil trilogy,"Whisper of Evil (Hooper, Kay. Evil Trilogy.) by Kay Hooper",[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0380778556,Rebecca,Daphne Du Maurier,1994.0,Avon,daphne du maurier,avon,rebecca,Rebecca by Daphne Du Maurier,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0451525221,Scarlet Letter,Nathaniel Hawthorne,1993.0,Signet Book,nathaniel hawthorne,signet books,scarlet letter,Scarlet Letter by Nathaniel Hawthorne,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0385336772,Diary of a Mad Mom-To-Be,Laura Wolf,2003.0,Delta,laura wolf,delta,diary mad mom,Diary of a Mad Mom-To-Be by Laura Wolf,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,1986.0,Laure Leaf,lois duncan,laurel leaf,locked time laurel leaf book,Locked in Time (Laurel Leaf Books) by LOIS DUNCAN,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0140252800,The Brimstone Wedding,Barbara Vine,1997.0,Penguin Books Ltd,barbara vine,penguin books ltd,brimstone wedding,The Brimstone Wedding by Barbara Vine,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,2002.0,Tor Fantasy,jane lindskold,tor fantasy,wolf eye wolf,Through Wolf's Eyes (Wolf) by Jane Lindskold,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
044651747X,Puerto Vallarta Squeeze,Robert James Waller,1995.0,Warner Books,robert james waller,warner books,puerto vallarta squeeze,Puerto Vallarta Squeeze by Robert James Waller,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0060801263,Tree Grows In Brooklyn,Betty Smith,1988.0,Harpercollins Publisher,betty smith,harpercollins publishers,tree grows brooklyn,Tree Grows In Brooklyn by Betty Smith,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0446527165,Wish You Well,David Baldacci,2000.0,Warner Books,david baldacci,warner books,wish well,Wish You Well by David Baldacci,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1982.0,Pocket,douglas adams,pocket,hitchhiker guide galaxy,The Hitchhiker's Guide to the Galaxy by Douglas Adams,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
0385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,2003.0,Delta,mary lawson,delta,crow lake today show book club 7,Crow Lake (Today Show Book Club #7) by Mary Lawson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
039575514X,My Antonia,Willa Cather,1995.0,Mariner Books,willa cather,mariner books,antonia,My Antonia by Willa Cather,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0451206673,Pen Pals,Olivia Goldsmith,2002.0,Signet Book,olivia goldsmith,signet books,pen pal,Pen Pals by Olivia Goldsmith,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0330332775,Bridget Jones's Diary,Helen Fielding,1997.0,Picador (UK),helen fielding,picador uk,bridget jones diary,Bridget Jones's Diary by Helen Fielding,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,1995.0,Dover Publications,jane austen,dover publications,pride prejudice dover thrift edition,Pride and Prejudice (Dover Thrift Editions) by Jane Austen,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,1994.0,Putnam Pub Group,lilian jackson braun,putnam pub group,cat came breakfast cat hardcover,The Cat Who Came to Breakfast (Cat Who... (Hardcover)) by Lilian Jackson Braun,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,1990.0,Del Rey Books,piers anthony,del rey books,night mare xanth novel paperback,Night Mare (Xanth Novels (Paperback)) by Piers Anthony,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0553278223,The Martian Chronicles,RAY BRADBURY,1984.0,Spectra,ray bradbury,spectra,martian chronicle,The Martian Chronicles by RAY BRADBURY,[0. 0. 0. ... 0. 0. 0.],"(1979, 1989]",6
3257208626,Fahrenheit 451,Ray Bradbury,1994.0,Distribooks Inc,ray bradbury,distribooks inc,fahrenheit 451,Fahrenheit 451 by Ray Bradbury,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,2002.0,Distribooks,paulo coelho,distribooks,veronika deschliesst zu sterben vernika decides die,Veronika Deschliesst Zu Sterben / Vernika Decides to Die by Paolo Coelho,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3453212150,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole.,Sue Townsend,2002.0,Heyne,sue townsend,heyne,die cappuccino jahre au dem tagebuch de adrian mole,Die Cappuccino- Jahre. Aus dem Tagebuch des Adrian Mole. by Sue Townsend,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3492045642,QuerschÃ?ÃÂ¼sse - Downsize This!,Michael Moore,2003.0,Piper,michael moore,piper,quersch sse downsize,QuerschÃ?ÃÂ¼sse - Downsize This! by Michael Moore,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3498020862,Die Korrekturen.,Jonathan Franzen,2002.0,"Rowohlt, Reinbek",jonathan franzen,rowohlt reinbek,die korrekturen,Die Korrekturen. by Jonathan Franzen,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
3596292646,Das Buch der lÃ?ÃÂ¤cherlichen Liebe.,Milan Kundera,2000.0,"Fischer (Tb.), Frankfurt",milans kundera,fischer tb  frankfurt,da buch der l cherlichen liebe,Das Buch der lÃ?ÃÂ¤cherlichen Liebe. by Milan Kundera,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0060977493,The God of Small Things,Arundhati Roy,1998.0,Perennial,arundhati roy,perennial,god small thing,The God of Small Things by Arundhati Roy,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0316602906,The Big Bad Wolf: A Novel,James Patterson,2003.0,"Little, Brown",james patterson,little brown,big bad wolf novel,The Big Bad Wolf: A Novel by James Patterson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0316693006,Four Blind Mice,James Patterson,2002.0,"Little, Brown",james patterson,little brown,four blind mouse,Four Blind Mice by James Patterson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0345311396,Private Screening,Richard North Patterson,1994.0,Ballantine Books,richard north patterson,ballantine books,private screening,Private Screening by Richard North Patterson,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0345378490,Congo,Michael Crichton,1995.0,Ballantine Books,michael crichton,ballantine books,congo,Congo by Michael Crichton,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0345404793,Protect and Defend,Richard North Patterson,2001.0,Ballantine Books,richard north patterson,ballantine books,protect defend,Protect and Defend by Richard North Patterson,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0375400117,Memoirs of a Geisha,Arthur Golden,1997.0,Alfred A. Knopf,arthur golden,alfred e knopf,memoir geisha,Memoirs of a Geisha by Arthur Golden,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0375705856,Plainsong (Vintage Contemporaries),KENT HARUF,2000.0,Vintage,kent haruf,vintage,plainsong vintage contemporary,Plainsong (Vintage Contemporaries) by KENT HARUF,[0. 0. 0. ... 0. 0. 0.],"(1999, 2009]",8
0380717018,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1992.0,Avon,patricia d cornwell,avon,body evidence kay scarpetta mystery paperback,Body of Evidence (Kay Scarpetta Mysteries (Paperback)) by Patricia D. Cornwell,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
0380718332,All That Remains (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,1993.0,Avon,patricia d cornwell,avon,remains kay scarpetta mystery paperback,All That Remains (Kay Scarpetta Mysteries (Paperback)) by Patricia D. Cornwell,[0. 0. 0. ... 0. 0. 0.],"(1989, 1999]",7
