ISBN,Book-Title,Book-Author,Year-Of-Publication,Book-Publisher
0345435869,rivan codex ancient text belgariad malloreon,david eddings,1999.0,del rey
0380728729,babyhood,paul reiser,1998.0,avon
0449912302,dave barry cyberspace,dave barry,1997.0,ballantine book
0812541642,waiting,frank robinson,2000.0,tor book
0486282112,frankenstein dover thrift edition,mary wollstonecraft shelley,1994.0,dover publication
0684193957,remains,patricia cornwell,1992.0,scribner
0345371984,last chance see,douglas adam,1992.0,ballantine book
0380730138,vinegar hill oprah book club paperback,manette ansay,1998.0,perennial
1573228737,affinity,sarah water,2002.0,riverhead book
9681500555,diario de ana frank,anne frank,2000.0,editores mexicano unidos
0452283914,best democracy money buy truth corporate con globalization high finance fraudsters,greg palast,2003.0,plume book
0425120279,hunt red october,tom clancy,1990.0,berkley publishing group
0380728273,liberty falling anna pigeon mystery paperback,nevada barr,2000.0,avon
8433914545,el palacio de la luna,paul auster,1996.0,anagrama
0446606197,killer market deborah knott mystery paperback,margaret maron,1999.0,warner book
3596214629,herr der fliegen fiction poetry drama,golding,1996.0,fischer taschenbuch verlag gmbh
0060188731,bel canto,ann patchett,2001.0,harpercollins publisher
0140374248,james giant peach,roald dahl,2000.0,penguin usa paper
0142001740,secret life bee,sue monk kidd,2003.0,penguin book
0312995423,digital fortress thriller,dan brown,2003.0,st martin press
0380704587,lady missalonghi,colleen mccullough,1988.0,avon
0380815923,blackberry wine novel,joanne harris,2001.0,perennial
0385416342,firm,john grisham,1991.0,doubleday book
0385418493,irish saved civilization untold story ireland heroic role fall rome rise medieval europe hinge history,thomas cahill,1996.0,anchor
038542471X,client,john grisham,1993.0,doubleday book
0449005410,horse heaven ballantine reader circle,jane smiley,2001.0,ballantine book
0449207544,proof,dick francis,1990.0,fawcett book
0515128554,heart sea irish trilogy,nora robert,2000.0,jove book
0517577402,mostly harmless,douglas adam,1992.0,random house inc
0590481371,spy spooky night book picture riddle spy book,walter wick,1996.0,scholastic u
067103619X,lake news,barbara delinsky,2000.0,pocket
0743411269,accidental woman,barbara delinsky,2003.0,pocket book
0743470389,snow garden,christopher rice,2004.0,pocket star
0767905938,year sea thought unfinished woman,joan anderson,2000.0,broadway book
0156528207,little prince,antoine de saint exupery,1968.0,harcourt
0380012863,jonathan livingston seagull,richard bach,1976.0,avon
0875421288,complete book incense oil brew llewellyn practical magick,scott cunningham,1989.0,llewellyn publication
0451527747,alice adventure wonderland looking glass,lewis carroll,2000.0,signet classic
0671867113,moonlight becomes,mary higgins clark,1997.0,pocket
0812504208,adventure tom sawyer,mark twain,1989.0,tor book
0060173289,divine secret ya ya sisterhood novel,rebecca well,1996.0,harpercollins
0060973897,lakota woman,dog mary crow,1991.0,perennial
006101351X,perfect storm true story men sea,sebastian junger,1998.0,harpertorch
0316666343,lovely bone novel,alice sebold,2002.0,little brown
0440224675,hannibal,thomas harris,2000.0,dell publishing company
0449002632,london novel,edward rutherfurd,1998.0,fawcett
0449213773,life man,margaret atwood,1990.0,fawcett book
0452279690,cavedweller,dorothy allison,1999.0,plume book
0553569058,robber bride,margaret atwood,1995.0,bantam
0679427430,take nothing journey,maya angelou,1993.0,random house p
1573225126,prozac nation young depressed america memoir,elizabeth wurtzel,1997.0,riverhead book
1878424319,four agreement practical guide personal freedom,miguel ruiz,1997.0,amber allen publishing
8478800336,c mo ser una mujer morir en el intento colecci n el papagayo,carmen rico godoy,1990.0,ediciones temas de hoy
1853260622,war peace wordsworth classic,leo tolstoy,1997.0,ntc contemporary publishing company
0312283784,alice tulip,sandra dallas,2001.0,st martin griffin
0345297709,centaur aisle,pier anthony,1982.0,ballantine book
0345313097,crewel lye,pier anthony,1985.0,ballantine book
0345335465,dragonflight dragonriders pern trilogy paperback,anne mccaffrey,1991.0,del rey book
0385333404,dating big bird,laura zigman,2000.0,dial book
044021145X,firm,john grisham,1992.0,bantam dell publishing group
0449212084,murder kennedy center capital crime mystery,margaret truman,1990.0,fawcett book
0553582682,guinness world record 2000 guinness book record 2000,nic kynaston,2000.0,bantam book
0843136685,sheldon mr levine excruciating correspondence,sam bobrick,1994.0,price stern sloan
0553210092,scarlet letter,nathaniel hawthorne,1965.0,bantam
0553258524,dragonsong harper hall trilogy,anne mccaffrey,1977.0,bantam
055358099X,cloud nine,luanne rice,2000.0,bantam book
0316168815,lovely bone,alice sebold,2004.0,back bay book
014023828X,tortilla curtain,coraghessan boyle,1996.0,penguin book
0345424719,widow one year,john irving,1999.0,ballantine book
0375726403,empire fall,richard russo,2002.0,vintage book usa
0385503857,oryx crake,margaret atwood,2003.0,nan talese
0425156842,sophie world novel history philosophy berkeley signature edition,jostein gaarder,1997.0,berkley publishing group
0440226104,black blue,anna quindlen,1999.0,dell
0452277337,le divorce william abraham book,diane johnson,1997.0,plume book
0553802488,face,dean r koontz,2003.0,bantam
0671021001,come undone oprah book club,wally lamb,1998.0,pocket
0767903579,falling leaf true story unwanted chinese daughter,adeline yen mah,1999.0,broadway book
0805063897,nickel dimed getting america,barbara ehrenreich,2002.0,owl book
0679777431,game king lymond chronicle 1,dorothy dunnett,1997.0,vintage
0553285343,russia house,john lecarre,1990.0,bantam
0671002481,first wife club movie tie,olivia goldsmith,1996.0,pocket
0842329129,left behind novel earth last day left behind 1,tim lahaye,1996.0,tyndale house putlishers
0345451260,househusband,ad hudler,2002.0,ballantine book
0380973545,letter nut,ted l nancy,1999.0,william morrow
0743424425,shining,stephen king,2001.0,pocket
0786868015,diary ellen rimbauer life rose red,joyce reardon,2001.0,hyperion
0446610178,sky falling,sidney sheldon,2001.0,warner book
0743229878,mount vernon love story novel george martha washington,mary higgins clark,2002.0,simon schuster
0380732335,florida road kill novel,tim dorsey,2000.0,harpertorch
0385337132,37th hour,jodi compton,2003.0,delacorte press
0440235057,cool,elmore leonard,2000.0,dell publishing company
0060915544,bean tree,barbara kingsolver,1989.0,perennial
0060917016,homeland story,barbara kingsolver,1990.0,perennial
0060925000,suitable boy novel,vikram seth,1994.0,perennial
0060932759,daughter fortune,isabel allende,2000.0,perennial
0061000280,fly wall,tony hillerman,1990.0,harpertorch
0312195516,red tent bestselling backlist,anita diamant,1998.0,picador usa
0380792664,right hand amon,lauren haney,1997.0,avon
0399137807,cat,lilian jackson braun,1992.0,putnam pub group
039914739X,isle dog,patricia daniel cornwell,2001.0,putnam publishing group
0451203046,light penny candle,maeve binchy,2001.0,signet book
0451410556,blue last richard jury mystery richard jury mystery paperback,martha grime,2002.0,onyx book
0486281965,country pointed fir dover thrift edition,sarah orne jewett,1994.0,dover publication
081296666X,thing girlfriend argued novel,mil millington,2003.0,villard book
0312278586,nanny diary novel,emma mclaughlin,2002.0,st martin press
8845229041,biblioteca universale rizzoli sulla sponda del fiume piedra,p coelho,2003.0,fabbri rcs libri
0312288115,confession sociopathic social climber katya livingston chronicle katya livingston chronicle hardcover,adele lang,2002.0,thomas dunne book
0380710218,postmortem,patricia daniel cornwell,1993.0,harper mass market paperback mm
0515118656,cove,catherine coulter,1996.0,jove book
0553289063,inconvenient woman,dominick dunne,1991.0,bantam book
0671000306,shock wave dirk pitt adventure paperback,clive cussler,1996.0,pocket
0671673688,pretty one sleep,mary higgins clark,1990.0,pocket
0618173870,everything illuminated novel,jonathan safran foer,2002.0,houghton mifflin company
0156027321,life pi,yann martel,2003.0,harvest book
0385721420,three june,julia glass,2003.0,anchor
0451202341,back road,tawni dell,2001.0,signet book
0743418190,shoe novel,jennifer weiner,2002.0,atrium book
0385335407,kiss,danielle steel,2001.0,delacorte press
0060923245,sweet hereafter movie tie novel,russell bank,1992.0,perennial
0486272664,rime ancient mariner poem,samuel taylor coleridge,1992.0,dover publication
0060913509,country ri,bobbie ann mason,1986.0,perennial
0553272837,brazen virtue,nora robert,1996.0,bantam book
0440225078,ghost moon,karen robards,2001.0,dell publishing company
0425181111,stranger,dean r koontz,2002.0,berkley publishing group
0380732688,milk honey peter decker rina lazarus novel,faye kellerman,2002.0,avon
0140286276,deep end ocean oprah book club,jacquelyn mitchard,1999.0,penguin book
0373484100,night tale,nora robert,2000.0,silhouette
0449907481,thousand acre ballantine reader circle,jane smiley,1992.0,ballantine book
0553107305,chopping spree,diane mott davidson,2002.0,bantam
080213825X,four blonde,candace bushnell,2001.0,grove press
0515127833,river end,nora robert,2003.0,jove book
0345441133,summer island,kristin hannah,2002.0,ballantine book
0515134279,straw men,michael marshall,2002.0,jove book
0385490992,street lawyer,john grisham,1998.0,doubleday book
0385424728,chamber,john grisham,1994.0,doubleday book
0312980388,warlock novel ancient egypt,wilbur smith,2002.0,st martin paperback
0385472951,partner,john grisham,1997.0,doubleday book
0451195663,primal scream,michael slade,1998.0,signet book
0425182878,chosen prey,john sandford,2004.0,berkley publishing group
0553564528,guilty sin,tami hoag,1997.0,bantam
055356451X,night sin,tami hoag,1995.0,bantam
0743412621,second time around novel,mary higgins clark,2004.0,pocket
0020442408,prince caspian,c lewis,1970.0,macmillan publishing company
042517736X,abduction,robin cook,2000.0,berkley publishing group
0671868713,never let go thomas capano deadly seducer,ann rule,2000.0,pocket
0345313860,vampire lestat vampire chronicle book ii,anne rice,1986.0,ballantine book
0345369947,mummy ramses damned,anne rice,1991.0,ballantine book
0345353625,mother daughter,marilyn french,1990.0,ballantine book
006017143X,night listener,armistead maupin,2000.0,harpercollins publisher
0805056491,organizing inside,julie morgenstern,1998.0,henry holt company
0679401377,hellfire club,peter straub,1996.0,random house inc
1562827049,diary jack ripper discovery investigation debate,jack,1993.0,hyperion book
0385306032,vanished,danielle steel,1993.0,delacorte press
0821772953,morning,lisa jackson,2004.0,zebra book
0345379454,missing susan,sharyn mccrumb,1992.0,ballantine book
0553576925,hiding shadow shadow trilogy paperback,kay hooper,2000.0,bantam book
0743206053,kitchen privilege memoir,mary higgins clark,2002.0,simon schuster
0307001164,101 dalmatian,justine korman,1996.0,golden book publishing company
0812519655,sacred ground,mercedes lackey,1995.0,tor book
0812524853,burning water burning water,mercedes lackey,1992.0,tor book
193072229X,moveon 50 way love country find political voice become catalyst change,moveon,2004.0,inner ocean publishing
1400077826,cold mountain mti vintage contemporary,charles frazier,2003.0,vintage
0446394521,daisy fay miracle man,fannie flagg,1992.0,warner book
0590021117,little house prairie,laura ingalls wilder,1953.0,scholastic inc
068484267X,angela ash memoir,frank mccourt,1999.0,scribner
0553578693,next accident,lisa gardner,2002.0,bantam
0312986769,bleak midwinter rev clare ferguson mystery,julia spencer fleming,2003.0,st martin minotaur
0345413377,amber spyglass dark material book 3,philip pullman,2001.0,del rey
0345413369,subtle knife dark material book 2,philip pullman,1998.0,del rey
0679893105,golden compass dark material book 1,philip pullman,1998.0,knopf book young reader
0345369068,ever return pretty peggy,sharyn mccrumb,1991.0,fawcett book
0451184718,rosewood casket,sharyn mccrumb,1997.0,signet book
0060938455,fast food nation dark side american meal,eric schlosser,2002.0,perennial
080411952X,unsung hero,suzanne brockmann,2000.0,ivy book
0060558865,ella enchanted rack,gail carson levine,2004.0,avon
0767912918,passing thin losing half weight finding self,france kuffel,2004.0,broadway
0553298860,bloodline dog lover mystery,susan conant,1994.0,bantam book
0385335679,kissing manhattan,david schickler,2002.0,delta
0440122090,echo,maeve binchy,1989.0,dell
0671525832,someone watch novel,judith mcnaught,2003.0,pocket
0553279572,toynbee convector,ray bradbury,1989.0,spectrum book
0061009059,one money stephanie plum novel paperback,janet evanovich,1995.0,harpertorch
0060930187,bell jar novel perennial classic,sylvia plath,2000.0,perennial
0679450432,dark lady,richard north patterson,1999.0,alfred knopf
0821775863,future scroll,fern michael,2003.0,zebra book
0821770209,face,fern michael,2003.0,zebra book
0553562819,globalhead,bruce sterling,1994.0,spectrum book
0446364193,along came spider alex cross novel,james patterson,1993.0,warner book
0446519138,simple abundance daybook comfort joy,sarah ban breathnach,1995.0,warner book
0425179672,river king,alice hoffman,2001.0,berkley publishing group
0061042943,final appeal,lisa scottoline,1994.0,harpertorch
0399144463,moved cheese amazing way deal change work life,spencer johnson,1998.0,putnam pub group paper
0743444167,new cardiff,charles webb,2002.0,washington square press
0618231617,almost novel,elizabeth benedict,2002.0,mariner book
0425174484,expecting adam true story birth rebirth everyday magic,martha beck,2000.0,berkley publishing group
0140185216,road penguin 20th century classic,jack kerouac,1998.0,penguin usa paper
0684717255,thou,martin buber,1971.0,free press
0486272745,prince dover thrift edition,niccolo machiavelli,1992.0,dover publication
0062507249,becoming man half life story,paul monette,1993.0,harpersanfrancisco
0684801221,old man sea,ernest hemingway,1995.0,scribner
0060083298,dominant blonde,alisa kwitney,2002.0,avon trade
0446672211,heart oprah book club paperback,billie letts,1998.0,warner book
0140293248,girl guide hunting fishing,melissa bank,2000.0,penguin book
0743213831,america beautiful novel,moon unit zappa,2001.0,touchstone
0142000205,icy spark,gwyn hyman rubio,2001.0,penguin book
0316735027,true outstanding adventure hunt sister novel,elisabeth robinson,2004.0,little brown
193156146X,time traveler wife,audrey niffenegger,2003.0,macadam cage publishing
015600710X,strange fit passion novel,anita shreve,1999.0,harvest book
0062517856,monk downstairs novel,tim farrington,2002.0,harpersanfrancisco
0449207757,davita harp,chaim potok,1990.0,fawcett book
0449245691,book light,chaim potok,1997.0,fawcett book
2253004022,regain,jean giono,1987.0,lgf
2253005274,le grand meaulnes classiques de poche,alain fournier,2000.0,distribooks inc
225300670X,l ouest rien de nouveau,erich maria remarque,1973.0,lgf
2266084372,pourquoi j ai mang mon p,lewis,2000.0,pocket
2070362388,ravage,rene barjavel,1987.0,gallimard french
2253007102,le fleurs du mal,c baudelaire,1972.0,livre de poche french
3492207006,die entdeckung der langsamkeit,sten nadolny,1987.0,piper
0140620427,sense sensibility penguin popular classic,jane austen,1994.0,penguin book ltd
3596144434,der gemietete mann,hera lind,1999.0,fischer tb frankfurt
3442724686,der gott der kleinen dinge,arundhati roy,1999.0,btb
0385504209,da vinci code,dan brown,2003.0,doubleday
0446525502,rescue,nicholas spark,2000.0,warner book
0385500769,map world,jane hamilton,1999.0,doubleday book
0670892963,bridget jones edge reason,helen fielding,2000.0,viking book
0688180639,vinegar hill oprah book club hardcover,manette ansay,1999.0,harpercollins
0316789089,pilot wife novel tag author weight water oprah book club hardcover,anita shreve,1999.0,little brown
0425184129,big trouble,dave barry,2002.0,berkley publishing group
0151001006,snow falling cedar,david guterson,1994.0,harcourt
0385505833,skipping christmas,john grisham,2001.0,doubleday
0679442790,reader,bernhard schlink,1997.0,random house p
0609605925,angel fall,kristin hannah,2000.0,crown
0060191929,saving grace novel,patricia gaffney,1999.0,harpercollins
0743206045,daddy little girl,mary higgins clark,2002.0,simon schuster
0684864843,vineyard novel,barbara delinsky,2000.0,simon schuster
0684867818,looking glass novel locket series,richard paul evans,1999.0,simon schuster
0743406176,true,marc levy,2000.0,atrium
0679603352,cider house rule novel modern library,john irving,1999.0,modern library
0679410430,lolita everyman library cloth,vladimir nabokov,1993.0,everyman library
0446523569,message bottle,nicholas spark,1998.0,warner book
0671042556,blackbird childhood lost found,jennifer lauck,2000.0,atrium
0679450440,protect defend,richard north patterson,2000.0,random house inc
0140107649,blue heaven contemporary american fiction,joe keenan,1988.0,penguin book
0609606727,julie romeo,jeanne ray,2000.0,harmony
0446527793,guardian,nicholas spark,2003.0,warner book
0446531332,night rodanthe,nicholas spark,2002.0,warner book
1570717257,man boy,tony parson,2001.0,sourcebooks landmark
0385420161,like water chocolate novel monthly installment recipe romance home remedy,laura esquivel,1992.0,doubleday book
0345339711,two tower lord ring part 2,j r r tolkien,1986.0,del rey
039304016X,perfect storm true story men sea,sebastian junger,1997.0,little brown company
0399147128,villa,nora robert,2001.0,putnam publishing group
0670031046,mountain,jan karon,2002.0,viking book
0394574745,pretty horse border trilogy vol 1,cormac mccarthy,1992.0,alfred knopf
0316969443,suzanne diary nicholas,james patterson,2001.0,little brown
0743230051,see sleeping novel,mary higgins clark,2001.0,scribner
0316693200,2nd chance,james patterson,2002.0,little brown
0684868911,carousel novel,richard paul evans,2000.0,simon schuster
0399148582,serious,john mcenroe,2002.0,putnam publishing group
0684864320,lake news novel,barbara delinsky,1999.0,simon schuster
0451176812,voice eagle,linda lay shuler,1993.0,signet book
0671525794,kingdom sea journey around great britain,paul theroux,1984.0,pocket book
0718144538,shattered uk,dick francis,1994.0,michael joseph ltd
0064407667,bad beginning series unfortunate event book 1,lemony snicket,1999.0,harpercollins
2253043974,chronique une mort annonc e,gabriel garcia marquez,1987.0,lgf
0349101779,wasp factory,ian bank,1996.0,abacus
0743222229,george w bushisms slate book accidental wit wisdom 43rd president,jacob weisberg,2001.0,fireside
